orden_id,cliente_id,tienda_id,vendedor_id,fecha_orden,estado_orden,metodo_pago,moneda,total_bruto,descuento_total,impuesto_total,total_neto
10389,65,4,1,2024-01-01,ANULADA,Yape/Plin,PEN,6600.0,270.0,1139.4,7469.4
10047,36,2,5,2024-01-03,COMPLETADA,Transferencia,PEN,420.0,21.0,71.82,470.82
10782,73,4,1,2024-01-03,ANULADA,Tarjeta,PEN,7820.0,760.0,1270.8,8330.8
10488,66,4,11,2024-01-04,COMPLETADA,Tarjeta,PEN,420.0,42.0,68.04,446.04
10298,68,1,2,2024-01-05,COMPLETADA,Efectivo,PEN,8580.0,687.0,1420.74,9313.74
10877,60,3,7,2024-01-05,COMPLETADA,Efectivo,PEN,8400.0,0.0,1512.0,9912.0
10433,32,5,12,2024-01-07,COMPLETADA,Transferencia,PEN,480.0,24.0,82.08,538.08
10468,74,4,1,2024-01-08,COMPLETADA,Yape/Plin,PEN,4200.0,0.0,756.0,4956.0
10187,63,2,5,2024-01-10,COMPLETADA,Efectivo,PEN,3500.0,350.0,567.0,3717.0
10287,18,2,6,2024-01-10,COMPLETADA,Efectivo,PEN,12150.0,415.0,2112.3,13847.3
10478,37,4,11,2024-01-13,COMPLETADA,Tarjeta,PEN,4200.0,420.0,680.4,4460.4
10481,53,1,2,2024-01-13,COMPLETADA,Yape/Plin,PEN,2200.0,0.0,396.0,2596.0
10810,6,2,5,2024-01-14,COMPLETADA,Yape/Plin,PEN,3900.0,0.0,702.0,4602.0
10474,15,5,3,2024-01-15,ANULADA,Transferencia,PEN,2880.0,72.0,505.44,3313.44
10129,44,3,9,2024-01-15,COMPLETADA,Transferencia,PEN,6400.0,960.0,979.2,6419.2
10494,23,1,2,2024-01-15,COMPLETADA,Tarjeta,PEN,960.0,0.0,172.8,1132.8
10779,79,2,4,2024-01-15,COMPLETADA,Yape/Plin,PEN,4200.0,0.0,756.0,4956.0
10498,63,1,2,2024-01-17,COMPLETADA,Tarjeta,PEN,6100.0,390.0,1027.8,6737.8
10615,25,1,2,2024-01-17,COMPLETADA,Transferencia,PEN,11600.0,160.0,2059.2,13499.2
